source_table,source_name,task_name,standard_inchikey,assay_id,document_id,document_chembl_id,target_chembl_id,standard_type,standard_relation,standard_value,standard_units,pchembl_value,derived_label,duplicate_activity_count,unit_inconsistency_flag,document_heterogeneity_flag,threshold_sensitive_flag,reviewer_note
results/tables/assay_provenance_activities.csv,moleculenet,BBBP,MYSWGUAQZAJSOK-UHFFFAOYSA-N,426780,35087,CHEMBL1142158,CHEMBL612545,IC50,=,6300.0,nM,5.2,positive,19590,True,True,True,"Record-level example; derived labels are audit flags, not ground-truth corrections."
results/tables/assay_provenance_activities.csv,moleculenet,BBBP,MYSWGUAQZAJSOK-UHFFFAOYSA-N,451499,37193,CHEMBL1138270,CHEMBL612545,IC50,=,15090.0,nM,4.82,negative,19590,True,True,True,"Record-level example; derived labels are audit flags, not ground-truth corrections."
results/tables/assay_provenance_activities.csv,moleculenet,BBBP,MYSWGUAQZAJSOK-UHFFFAOYSA-N,562734,46236,CHEMBL1153403,CHEMBL612545,IC50,=,10800.0,nM,4.97,negative,19590,True,True,True,"Record-level example; derived labels are audit flags, not ground-truth corrections."
results/tables/assay_provenance_activities.csv,moleculenet,BBBP,MYSWGUAQZAJSOK-UHFFFAOYSA-N,543126,46000,CHEMBL1152793,CHEMBL612851,IC50,=,17200.0,nM,4.76,negative,19590,True,True,True,"Record-level example; derived labels are audit flags, not ground-truth corrections."
results/tables/assay_provenance_activities.csv,moleculenet,ClinTox,MYSWGUAQZAJSOK-UHFFFAOYSA-N,426780,35087,CHEMBL1142158,CHEMBL612545,IC50,=,6300.0,nM,5.2,positive,19590,True,True,True,"Record-level example; derived labels are audit flags, not ground-truth corrections."
results/tables/assay_provenance_activities.csv,moleculenet,ClinTox,MYSWGUAQZAJSOK-UHFFFAOYSA-N,451499,37193,CHEMBL1138270,CHEMBL612545,IC50,=,15090.0,nM,4.82,negative,19590,True,True,True,"Record-level example; derived labels are audit flags, not ground-truth corrections."
results/tables/assay_provenance_activities.csv,moleculenet,ClinTox,MYSWGUAQZAJSOK-UHFFFAOYSA-N,562734,46236,CHEMBL1153403,CHEMBL612545,IC50,=,10800.0,nM,4.97,negative,19590,True,True,True,"Record-level example; derived labels are audit flags, not ground-truth corrections."
results/tables/assay_provenance_activities.csv,moleculenet,ClinTox,MYSWGUAQZAJSOK-UHFFFAOYSA-N,543126,46000,CHEMBL1152793,CHEMBL612851,IC50,=,17200.0,nM,4.76,negative,19590,True,True,True,"Record-level example; derived labels are audit flags, not ground-truth corrections."
results/tables/assay_provenance_activities.csv,chembl_bioactivity,hERG_pchembl5_pilot,DCSUBABJRXZOMT-UHFFFAOYSA-N,79533,16592,CHEMBL1135758,CHEMBL240,IC50,=,6.5,nM,8.19,positive,36,False,True,False,"Record-level example; derived labels are audit flags, not ground-truth corrections."
results/tables/assay_provenance_activities.csv,chembl_bioactivity,hERG_pchembl5_pilot,DCSUBABJRXZOMT-UHFFFAOYSA-N,158542,5535,CHEMBL1136402,CHEMBL240,IC50,=,45.0,nM,7.35,positive,36,False,True,False,"Record-level example; derived labels are audit flags, not ground-truth corrections."
results/tables/assay_provenance_activities.csv,chembl_bioactivity,hERG_pchembl5_pilot,DCSUBABJRXZOMT-UHFFFAOYSA-N,158543,16989,CHEMBL1145042,CHEMBL240,IC50,=,47.0,nM,7.33,positive,36,False,True,False,"Record-level example; derived labels are audit flags, not ground-truth corrections."
results/tables/assay_provenance_activities.csv,chembl_bioactivity,hERG_pchembl5_pilot,DCSUBABJRXZOMT-UHFFFAOYSA-N,158540,5706,CHEMBL1136167,CHEMBL240,IC50,=,39.81,nM,7.4,positive,36,False,True,False,"Record-level example; derived labels are audit flags, not ground-truth corrections."
data/processed/benchmarks/chembl_CYP1A2_pchembl5_temporal.parquet,chembl_bioactivity,CYP1A2_pchembl5_temporal,VFMMPHCGEFXGIP-UHFFFAOYSA-N,aggregate_endpoint_dataset,aggregate_endpoint_dataset,,CHEMBL3356,pChEMBL aggregate,thresholded_at_endpoint_rule,7.38,pChEMBL,7.38,1,57,False,True,False,Endpoint-native CYP aggregate row; assay/document IDs are not redistributed in this compact table.
data/processed/benchmarks/chembl_CYP1A2_pchembl5_temporal.parquet,chembl_bioactivity,CYP1A2_pchembl5_temporal,KGQZGCIVHYLPBH-UHFFFAOYSA-N,aggregate_endpoint_dataset,aggregate_endpoint_dataset,,CHEMBL3356,pChEMBL aggregate,thresholded_at_endpoint_rule,5.62,pChEMBL,5.62,1,25,False,True,False,Endpoint-native CYP aggregate row; assay/document IDs are not redistributed in this compact table.
data/processed/benchmarks/chembl_CYP1A2_pchembl5_temporal.parquet,chembl_bioactivity,CYP1A2_pchembl5_temporal,YIBOMRUWOWDFLG-ONEGZZNKSA-N,aggregate_endpoint_dataset,aggregate_endpoint_dataset,,CHEMBL3356,pChEMBL aggregate,thresholded_at_endpoint_rule,5.04,pChEMBL,5.04,1,8,False,True,True,Endpoint-native CYP aggregate row; assay/document IDs are not redistributed in this compact table.
data/processed/benchmarks/chembl_CYP2C19_pchembl5_temporal.parquet,chembl_bioactivity,CYP2C19_pchembl5_temporal,IGLYMJRIWWIQQE-QUOODJBBSA-N,aggregate_endpoint_dataset,aggregate_endpoint_dataset,,CHEMBL3622,pChEMBL aggregate,thresholded_at_endpoint_rule,5.22,pChEMBL,5.22,1,21,False,True,True,Endpoint-native CYP aggregate row; assay/document IDs are not redistributed in this compact table.
data/processed/benchmarks/chembl_CYP2C19_pchembl5_temporal.parquet,chembl_bioactivity,CYP2C19_pchembl5_temporal,ZMZDHUHMXXALFX-SFHVURJKSA-N,aggregate_endpoint_dataset,aggregate_endpoint_dataset,,CHEMBL3622,pChEMBL aggregate,thresholded_at_endpoint_rule,6.68,pChEMBL,6.68,1,20,False,True,False,Endpoint-native CYP aggregate row; assay/document IDs are not redistributed in this compact table.
data/processed/benchmarks/chembl_CYP2C19_pchembl5_temporal.parquet,chembl_bioactivity,CYP2C19_pchembl5_temporal,RTHCYVBBDHJXIQ-INIZCTEOSA-N,aggregate_endpoint_dataset,aggregate_endpoint_dataset,,CHEMBL3622,pChEMBL aggregate,thresholded_at_endpoint_rule,5.4,pChEMBL,5.4,1,10,False,False,True,Endpoint-native CYP aggregate row; assay/document IDs are not redistributed in this compact table.
results/tables/dili_hepatotoxicity_assay_provenance_summary.csv,chembl_bioactivity,DILI_hepatotoxicity_binary_temporal,JLYXXMFPNIAWKQ-GNIYUCBRSA-N,text_evidence_summary,text_evidence_summary,,,text-evidence binary label,derived_from_activity_comment,,,,discordant,2,False,False,False,Text-evidence provenance pilot; retained as supplementary label-source heterogeneity evidence.
results/tables/dili_hepatotoxicity_assay_provenance_summary.csv,chembl_bioactivity,DILI_hepatotoxicity_binary_temporal,ACGUYXCXAPNIKK-UHFFFAOYSA-N,text_evidence_summary,text_evidence_summary,,,text-evidence binary label,derived_from_activity_comment,,,,single_direction,1,False,False,False,Text-evidence provenance pilot; retained as supplementary label-source heterogeneity evidence.
